,regressor,utility_function,trial,iteration,candidates_value,target_value,uq_correction,mae,r2,mse,mape,rmse,scc,mis_area,ence,cv,oc
0,SVR,EI,0,0,[10.692992090554807],11.928578498805974,None,1.7853361836397075,-3.399440975849747,5.055067011239037,0.33269244486465743,2.2483476179717043,0.6210847975553857,0.08815477102674332,0.24268049985082188,0.542908235945262,1.2355864082511676
1,SVR,EI,0,1,[11.250661595462995],11.928578498805974,None,1.523508858266692,-1.1163658359280122,3.676007037840073,0.2712157046907902,1.9172915891538442,0.492436974789916,0.08092658998431634,0.13968526049369412,0.4350598417431473,0.6779169033429788
2,SVR,EI,0,2,[11.829373549760513],11.928578498805974,None,1.2139455934096237,0.16058829216117632,2.339253671624396,0.20917547694764171,1.529461889562599,0.2296409472880061,0.13211744416909404,0.209478781162788,0.4015578801619914,0.09920494904546118
3,SVR,EI,0,3,[11.525388478963707],11.928578498805974,None,1.0185724757008303,0.49117859894364013,1.7196364385239735,0.17555311573813875,1.311349091021904,0.012375859434682963,0.1329527659070236,0.21937421162382587,0.3699597108305173,0.09920494904546118
4,SVR,EI,0,4,[11.19550832113441],11.928578498805974,None,0.9280593730896333,0.5794180089727246,1.402480960706102,0.15418352500017896,1.184263889809236,0.12513368983957218,0.06888398123945427,0.19703313740661946,0.325959331181272,0.09920494904546118
5,SVR,EI,0,5,[9.750499530476976],11.928578498805974,None,0.8571542085140353,0.7108662895526123,1.1924924007750093,0.14479549795767874,1.0920130039404334,0.120244461420932,0.07610605886831724,0.22836125660696224,0.37183877159417095,0.09920494904546118
6,SVR,EI,0,6,[10.938137153353964],11.928578498805974,None,0.8547507624387414,0.7046940351417905,1.2010185053985962,0.14463043607533754,1.095909898394296,0.1495798319327731,0.061585536349229454,0.23924026226684308,0.34682361026869735,0.09920494904546118
7,SVR,EI,0,7,[11.928578498805974],11.928578498805974,None,0.8196165745555382,0.7381298156891694,1.138539358795089,0.1431013715075505,1.0670235980497755,0.11352177234530175,0.05692396947038288,0.20441492195785957,0.37275434507564936,0.0
8,SVR,EI,0,8,[8.930361883909434],11.928578498805974,None,0.7810539595447509,0.7703287998974268,1.1023469199811573,0.139197662158063,1.0499271022224148,0.1067990832696715,0.05673843743301072,0.20662869625317218,0.36812359656918653,0.0
9,SVR,EI,0,9,[11.851940893507079],11.928578498805974,None,0.7881813938444834,0.765018200888616,1.1173629713556406,0.14185194752562405,1.0570539112815582,0.057601222307104655,0.061343001481409684,0.26270991670754995,0.3500821130087132,0.0
10,SVR,EI,0,10,[10.831339199556183],11.928578498805974,None,0.8894472912949258,0.6624732768857571,1.2313550553704469,0.1461209645312983,1.1096643886195712,0.045072574484339184,0.0574416433672738,0.18437257486578335,0.34724956150020975,0.0
11,SVR,EI,0,11,[10.353894158029076],11.928578498805974,None,0.8473558250713535,0.7032355729552052,1.1509011257374866,0.1426624917476526,1.0728005992436276,0.025821237585943468,0.0704099821746881,0.28496180761105067,0.35236010455439265,0.0
12,SVR,EI,0,12,[7.15445909470536],11.928578498805974,None,0.8297870668654117,0.7158123786574278,1.1399397111618033,0.1412326120142541,1.0676795919946223,0.0267379679144385,0.06719358322869172,0.26989187313756796,0.36245481102684624,0.0
13,SVR,EI,0,13,[10.096118287918413],11.928578498805974,None,0.8276164396172631,0.7143265869195844,1.1270971473055489,0.13839924422296165,1.061648316207184,-0.00015278838808250572,0.06071102194192755,0.2632703574495008,0.35283431505656077,0.0
14,SVR,EI,0,14,[10.680608166412524],11.928578498805974,None,0.8066734277601962,0.7290300552630511,1.1026785247894246,0.13565188083850024,1.0500850083633346,-0.009320091673032849,0.0719580245806088,0.23285023365074803,0.3615950375478469,0.0
15,SVR,EI,0,15,[9.129618266464192],11.928578498805974,None,0.8080697456481997,0.7313666838311713,1.103814618429756,0.13635204215482546,1.0506258222743985,-0.0019862490450725744,0.08611807847819329,0.244982643789725,0.37112104226685144,0.0
16,SVR,EI,0,16,[6.215207918694039],11.928578498805974,None,0.8219526235223251,0.7337949050857345,1.156856167153573,0.14460764070589083,1.0755724834494294,0.07410236822001527,0.1191325014854427,0.34069497053834963,0.4004921161465027,0.0
17,SVR,EI,0,17,[10.723282802412777],11.928578498805974,None,0.8207810341096073,0.7298943562579763,1.1441723485513922,0.14097786547830427,1.069659921915088,0.03498854087089381,0.11005194344294694,0.3334502054540657,0.38779073930142993,0.0
18,SVR,EI,0,18,[9.866045256022106],11.928578498805974,None,0.7708275832268767,0.7611092079704542,1.0791924037428062,0.13572605357688355,1.0388418569459001,0.1174942704354469,0.08450761666011902,0.31138290822728504,0.40117470095827296,0.0
19,SVR,EI,0,19,[10.530855441454378],11.928578498805974,None,0.7542034144665939,0.7711149060924508,1.0717160468927565,0.13472777573055297,1.0352371935420193,0.05576776165011458,0.08644599228192786,0.3489574364950998,0.41396469408736886,0.0
20,SVR,EI,0,20,[9.3307333312614],11.928578498805974,None,0.7596270529789897,0.770030899302063,1.0955094940009853,0.13845850560369447,1.0466658941615443,0.1147440794499618,0.08692071096915392,0.33847085934669613,0.4172016665474776,0.0
21,SVR,EI,0,21,[10.778030861605002],11.928578498805974,None,0.7639448637922108,0.7685912633821874,1.1009334722004187,0.1397714090302655,1.0492537692095363,0.13705118411000763,0.09050714760057325,0.2777336602932824,0.41445987148885255,0.0
22,SVR,EI,0,22,[8.468863921228854],11.928578498805974,None,0.8134422871587037,0.7569610968530466,1.2036029801138894,0.1563732557914184,1.0970884103452598,0.2623376623376623,0.10932857991681526,0.279805260077627,0.41390418499158527,0.0
23,SVR,EI,0,23,[7.3032373890369],11.928578498805974,None,0.8095016948132729,0.7544026281615316,1.1952301958666625,0.15366678548575424,1.0932658395224204,0.2953399541634836,0.11972667855020802,0.30085727645810534,0.42903161170426907,0.0
24,SVR,EI,0,24,[10.0367326541833],11.928578498805974,None,0.7879018562908552,0.7593489665209741,1.1680025636826352,0.14893976298444625,1.0807416729647448,0.2354469060351413,0.1124048577335775,0.31112512376470364,0.4177632893076058,0.0
25,SVR,EI,0,25,[9.95977808893493],11.928578498805974,None,0.7866136858907399,0.7595802850891071,1.177619905516506,0.1501623838736645,1.0851819688496975,0.227196333078686,0.11179607706740803,0.3685054124454709,0.4168982486798332,0.0
26,SVR,EI,0,26,[9.200956480665841],11.928578498805974,None,0.8448419634152776,0.7386109680897258,1.3124297035875108,0.16619486814388787,1.1456132434585027,0.3454545454545454,0.12834224598930483,0.33102687421143734,0.4151442517910735,0.0
27,SVR,EI,0,27,[11.089669534528515],11.928578498805974,None,0.8977138158608609,0.7196430194080657,1.4411326328235503,0.17888524471164743,1.2004718375803534,0.34178762414056535,0.15389185977421274,0.3195935205812086,0.4133469489102643,0.0
28,SVR,EI,0,28,[9.16542668455267],11.928578498805974,None,0.9546653390520407,0.7094511185788208,1.563082684454326,0.19138908927058032,1.250233052056426,0.38212375859434683,0.16280451574569227,0.37491072449380874,0.4033056547755396,0.0
29,SVR,EI,0,29,[6.604214790866828],11.928578498805974,None,0.9462105163693264,0.7089935273259738,1.5841929960683916,0.19591673412120314,1.2586472881901394,0.411764705882353,0.17260843731431968,0.39198853387664584,0.41828276179425117,0.0
