,regressor,utility_function,trial,iteration,candidates_value,target_value,uq_correction,mae,r2,mse,mape,rmse,scc,mis_area,ence,cv,oc
0,XGBOOST,EI,0,0,[10.831339199556183],11.928578498805974,None,2.6841712759940157,-200.75478418559481,11.93714213690575,0.6419296000442023,3.4550169517537466,0.20689662489864036,0.37730243612596553,3.6600425931874616,0.4542005,1.0972392992497912
1,XGBOOST,EI,0,1,[11.928578498805974],11.928578498805974,None,2.3799925233822816,-30.37892854553078,9.44034638882075,0.5210607655475976,3.072514668609533,0.2579708841123476,0.2852049910873441,2.2722119036090596,0.68876904,0.0
2,XGBOOST,EI,0,2,[11.851940893507079],11.928578498805974,None,2.200926219552162,-10.890661894709629,8.210215221309943,0.46610937821908066,2.8653473125102904,0.2668196498434969,0.23521359455615515,1.8721417231145443,0.5932772,0.0
3,XGBOOST,EI,0,3,[10.530855441454378],11.928578498805974,None,2.2047170587654112,-55.27404811858582,8.211062159897622,0.4459060369329965,2.8654950985645784,0.25688080901838095,0.30805459438677435,2.3415218664270863,0.4698455,0.0
4,XGBOOST,EI,0,4,[7.15445909470536],11.928578498805974,None,2.1103008667113023,-30.09277249609538,7.192656952610871,0.4061169065353604,2.6819129278578138,0.29324982095627194,0.3404634581105169,2.2093393418983336,0.4501451,0.0
5,XGBOOST,EI,0,5,[10.938137153353964],11.928578498805974,None,2.101285867546048,-28.479450310122147,7.198138484024785,0.40615656733736677,2.682934677554559,0.22169564149457469,0.3490790255496138,2.3414868786426792,0.42988884,0.0
6,XGBOOST,EI,0,6,[11.19550832113441],11.928578498805974,None,2.024413083997356,-13.977711551290282,6.408200236691826,0.3754237004384274,2.5314423233982293,0.22765848978304948,0.3594509104889728,2.081991765573469,0.41533884,0.0
7,XGBOOST,EI,0,7,[11.525388478963707],11.928578498805974,None,1.922641321661438,-9.532768899836569,5.4670410841141965,0.3372613930486001,2.3381704565993893,0.3206177656649125,0.3793820558526442,1.867311946594891,0.3735578,0.0
8,XGBOOST,EI,0,8,[8.468863921228854],11.928578498805974,None,1.865485757321381,-8.400653523346543,5.222034171674147,0.3238893295124829,2.285177054775876,0.28331174047548063,0.374331550802139,1.8952825922121141,0.35497195,0.0
9,XGBOOST,EI,0,9,[8.982510858671258],11.928578498805974,None,1.8311713072256994,-7.729125259467345,4.969042089291892,0.3137173912111321,2.2291348297695883,0.31480781092229604,0.38116458704693995,1.8811570292784923,0.36158705,0.0
10,XGBOOST,EI,0,10,[11.089669534528515],11.928578498805974,None,1.8007729524148726,-5.9516802881453525,4.677503611182299,0.3021698593851186,2.1627537102458754,0.29569611769000514,0.3841354723707665,1.7449563569930164,0.31143197,0.0
11,XGBOOST,EI,0,11,[8.902482802721027],11.928578498805974,None,1.7489976091369974,-2.6103154694263564,4.31197863702678,0.29061262965051726,2.0765304324826976,0.30609287880837144,0.3606654783125372,1.4507780052447634,0.48901573,0.0
12,XGBOOST,EI,0,12,[9.503062224126804],11.928578498805974,None,1.7577954790998018,-3.0358067490788185,4.266698221580925,0.2812411023277099,2.065598756191755,0.3419967005474193,0.37106357694592995,1.6200755821522788,0.31734392,0.0
13,XGBOOST,EI,0,13,[10.309972140131771],11.928578498805974,None,1.776127800582668,-1.9570971796825525,4.336117013374885,0.28586882719114015,2.0823345104413185,0.4218010267368484,0.38680926916221037,1.6005589598156709,0.3296891,0.0
