,regressor,utility_function,trial,iteration,candidates_value,target_value,uq_correction,mae,r2,mse,mape,rmse,scc,mis_area,ence,cv,oc
0,SVR,EI,0,0,[5.634789602454964],8.460034306352648,None,2.2441947935052875,0.5388928922223155,7.307481379874528,1.1599712247662002,2.7032353541403915,-0.6176470588235294,0.09650006691951162,1.186253703738827,0.43738949472127114,2.8252447038976847
1,SVR,EI,0,1,[5.521460918662246],8.460034306352648,None,3.26859530470698,-2.065603195658556,12.284859474046872,2.827525324495596,3.5049763870883455,0.22058823529411767,0.18380424327775644,0.7925510586235778,0.20696833305597895,2.8252447038976847
2,SVR,EI,0,2,[7.824046011656292],8.460034306352648,None,2.025627178226962,0.18326957858609083,5.253798294709565,1.8818268692594002,2.292116553474008,-0.2622549019607843,0.09117827609865313,0.5998794304425468,0.16784112527832457,0.6359882946963564
3,SVR,EI,0,3,[6.966024186162716],8.460034306352648,None,1.1034830577956947,0.7555601211810835,2.384394136819282,1.073388334434874,1.544148353241774,0.22794117647058826,0.11162558149645664,0.17821682084220067,0.30779115641509225,0.6359882946963564
4,SVR,EI,0,4,[6.461468176353717],8.460034306352648,None,0.9301970878732808,0.8185842966364387,1.8732630203209886,0.6491528561761782,1.368671991501612,0.21078431372549022,0.11857952345757224,0.23948589869877657,0.4094070943693222,0.6359882946963564
5,SVR,EI,0,5,[4.999439522009694],8.460034306352648,None,0.7980067521582299,0.8579777292818624,1.4956970691638654,0.43207055387731197,1.2229869456228326,0.35294117647058826,0.14012434241989472,0.3399837621841184,0.42243886927154883,0.6359882946963564
6,SVR,EI,0,6,[5.799092654763556],8.460034306352648,None,1.0104080378092906,0.8318351642939987,1.7312238651599017,0.41107984216346405,1.3157598052683863,0.7892156862745099,0.07043944164283013,0.35092307134523143,0.48582999937490107,0.6359882946963564
7,SVR,EI,0,7,[6.620073206530356],8.460034306352648,None,0.9055484814447544,0.8543280411138978,1.4475695732182015,0.33648260460941043,1.2031498548469353,0.7965686274509804,0.05126312467958193,0.33684287800465806,0.532393193330918,0.6359882946963564
8,SVR,EI,0,8,[8.460034306352648],8.460034306352648,None,0.7193746641549723,0.9113860773344138,0.8535704489872257,0.21194912403350982,0.9238887644014433,0.6862745098039217,0.04797442760480411,0.35550440616924983,0.5408752282192173,0.0
9,SVR,EI,0,9,[5.221868194384631],8.460034306352648,None,0.5955198318468151,0.9280588454358532,0.6887014791943763,0.15807354144498809,0.8298804005363521,0.607843137254902,0.053685219142219694,0.41889614030162314,0.5387882433439944,0.0
