,regressor,utility_function,trial,iteration,candidates_value,target_value,uq_correction,mae,r2,mse,mape,rmse,scc,mis_area,ence,cv,oc
0,XGBOOST,EI,0,0,[-0.18632957939631273],8.460034306352648,None,6.434257385025212,-107.5840034747595,46.422542753139744,3.4976751744779446,6.81340904049799,-0.19124437867201516,0.47950089126559714,6.4049977130731115,0.2452131,8.646363885748961
1,XGBOOST,EI,0,1,[0.7839015442850304],8.460034306352648,None,6.1882392768255885,-73.26353965162056,43.10876741306425,3.9835907581272836,6.565726723909871,-0.10960724123257283,0.4741532976827095,5.833714001531792,0.23570845,7.676132762067618
2,XGBOOST,EI,0,2,[4.162003210540152],8.460034306352648,None,5.856811786815607,-39.55180246384634,39.08153390401685,5.739633500393177,6.251522526874301,-0.09113411068775719,0.46583481877599525,5.374656205327807,0.22756793,4.2980310958124965
3,XGBOOST,EI,0,3,[5.5282379033331654],8.460034306352648,None,5.646030729724287,-33.83471409122168,36.40186580784901,9.843730396086833,6.033395876937715,-0.27709695817223473,0.47237076648841353,5.593622903914786,0.20618662,2.931796403019483
4,XGBOOST,EI,0,4,[2.7212954278522306],8.460034306352648,None,5.5669069723829585,-32.136491253489645,35.4056794936849,15.86240716350374,5.950267178344591,-0.3230967983425374,0.46939988116458703,5.500287962226502,0.18263866,2.931796403019483
5,XGBOOST,EI,0,5,[5.638354669689618],8.460034306352648,None,5.533190596169492,-29.517677461573296,35.03478413541172,38.60192850121786,5.919018849050214,-0.1916467701195279,0.47237076648841353,5.418972607055903,0.17916635,2.8216796366630303
6,XGBOOST,EI,0,6,[3.1570004207245814],8.460034306352648,None,5.42918035254329,-27.819349023861662,33.904831482345045,20.21025002373316,5.822785543221134,-0.10810843442640035,0.45157456922162803,4.554666974732423,0.12022459,2.8216796366630303
7,XGBOOST,EI,0,7,[6.461468176353717],8.460034306352648,None,5.466763304415077,-26.210512278891287,34.38631737465378,13.718879913678549,5.8639847693060885,0.1253075035396913,0.4581105169340463,4.578633554483135,0.12481266,1.998566129998931
8,XGBOOST,EI,0,8,[7.824046011656292],8.460034306352648,None,2.9919442661326556,-0.9862744597418214,12.118546415322815,1.632312924411059,3.4811702652014618,-0.09442061860553318,0.17231134878193705,2.232130201877804,0.38406643,0.6359882946963564
9,XGBOOST,EI,0,9,[4.007333185232471],8.460034306352648,None,1.9479105226501137,0.36562083535548096,7.021582103215671,1.7772184217882305,2.6498268062678494,-0.3960761014232106,0.05649413367364252,2.02651629893567,0.27367893,0.6359882946963564
